iter	Passed	Remaining
402	13640	20207
403	13675	20174
404	13708	20140
405	13740	20102
406	13774	20069
407	13807	20034
408	13841	20000
409	13875	19967
410	13909	19933
411	13943	19899
412	13978	19867
413	14012	19834
414	14048	19803
415	14082	19770
416	14116	19735
417	14149	19701
418	14183	19667
419	14218	19635
420	14251	19600
421	14287	19569
422	14321	19535
423	14357	19504
424	14393	19472
425	14429	19442
426	14464	19410
427	14497	19374
428	14530	19340
429	14566	19308
430	14599	19274
431	14636	19244
432	14670	19210
433	14706	19179
434	14742	19148
435	14777	19116
436	14811	19082
437	14847	19050
438	14883	19019
439	14917	18986
440	14953	18954
441	14989	18923
442	15025	18892
443	15062	18861
444	15098	18830
445	15134	18799
446	15170	18767
447	15204	18734
448	15239	18701
449	15277	18672
450	15312	18640
451	15348	18607
452	15383	18575
453	15416	18540
454	15456	18513
455	15490	18479
456	15526	18448
457	15561	18415
458	15597	18383
459	15630	18349
460	15665	18316
461	15701	18284
462	15737	18253
463	15775	18223
464	15810	18190
465	15844	18156
466	15877	18121
467	15913	18089
468	15947	18055
469	15981	18021
470	16012	17984
471	16045	17949
472	16079	17914
473	16114	17882
474	16150	17850
475	16186	17818
476	16220	17784
477	16255	17752
478	16289	17717
479	16334	17695
480	16368	17661
481	16400	17625
482	16439	17596
483	16472	17561
484	16506	17527
485	16541	17494
486	16574	17458
487	16612	17429
488	16646	17395
489	16680	17361
490	16714	17327
491	16748	17293
492	16786	17262
493	16820	17229
494	16857	17197
495	16895	17168
496	16931	17135
497	16967	17103
498	17001	17069
499	17036	17036
500	17071	17003
501	17106	16969
502	17141	16936
503	17176	16903
504	17215	16874
505	17266	16857
506	17307	16829
507	17343	16797
508	17377	16763
509	17412	16729
510	17448	16696
511	17480	16661
512	17515	16627
513	17550	16594
514	17585	16561
515	17621	16528
516	17655	16494
517	17692	16462
518	17726	16428
519	17759	16393
520	17795	16360
521	17829	16326
522	17862	16291
523	17896	16256
524	17930	16223
525	17967	16191
526	18001	16157
527	18039	16126
528	18074	16092
529	18109	16059
530	18141	16023
531	18175	15989
532	18209	15954
533	18244	15921
534	18278	15887
535	18311	15851
536	18345	15817
537	18381	15785
538	18416	15751
539	18449	15716
540	18487	15685
541	18519	15649
542	18556	15617
543	18590	15583
544	18624	15548
545	18659	15515
546	18692	15480
547	18727	15446
548	18763	15413
549	18797	15379
550	18833	15347
551	18869	15314
552	18905	15281
553	18939	15247
554	18972	15211
555	19007	15179
556	19041	15143
557	19075	15109
558	19109	15075
559	19142	15040
560	19176	15006
561	19212	14973
562	19246	14938
563	19278	14903
564	19311	14868
565	19346	14834
566	19378	14798
567	19412	14764
568	19445	14729
569	19480	14696
570	19515	14662
571	19550	14628
572	19584	14594
573	19617	14559
574	19651	14524
575	19689	14493
576	19723	14459
577	19758	14425
578	19791	14390
579	19827	14357
580	19860	14322
581	19894	14288
582	19928	14253
583	19962	14220
584	19996	14185
585	20031	14151
586	20065	14117
587	20099	14083
588	20132	14048
589	20168	14015
590	20202	13981
591	20238	13948
592	20273	13914
593	20308	13880
594	20344	13847
595	20380	13815
596	20417	13782
597	20453	13749
598	20488	13715
599	20523	13682
600	20557	13647
601	20590	13613
602	20625	13579
603	20659	13545
604	20694	13511
605	20729	13477
606	20766	13445
607	20802	13412
608	20836	13377
609	20868	13342
610	20902	13307
611	20936	13273
612	20968	13237
613	21002	13203
614	21035	13168
615	21068	13133
616	21104	13100
617	21140	13067
618	21175	13033
619	21212	13001
620	21246	12966
621	21282	12933
622	21317	12900
623	21353	12866
624	21388	12832
625	21425	12800
626	21463	12768
627	21499	12735
628	21534	12701
629	21572	12669
630	21615	12640
631	21655	12609
632	21691	12576
633	21727	12542
634	21762	12508
635	21797	12475
636	21833	12441
637	21869	12408
638	21904	12374
639	21942	12342
640	21978	12309
641	22013	12275
642	22051	12243
643	22087	12209
644	22125	12177
645	22163	12145
646	22201	12112
647	22237	12079
648	22273	12046
649	22325	12021
650	22362	11988
651	22399	11955
652	22435	11922
653	22470	11888
654	22505	11853
655	22545	11822
656	22581	11788
657	22616	11754
658	22653	11722
659	22689	11688
660	22724	11654
661	22758	11619
662	22794	11586
663	22828	11551
664	22863	11517
665	22898	11483
666	22933	11449
667	22969	11415
668	23001	11380
669	23035	11345
670	23067	11310
671	23103	11276
672	23139	11242
673	23173	11208
674	23207	11174
675	23244	11140
676	23283	11108
677	23319	11075
678	23356	11041
679	23389	11006
680	23426	10973
681	23463	10940
682	23497	10905
683	23531	10871
684	23565	10836
685	23599	10802
686	23633	10767
687	23669	10733
688	23702	10699
689	23737	10664
690	23771	10630
691	23805	10595
692	23838	10560
693	23871	10525
694	23904	10490
695	23938	10455
696	23971	10420
697	24007	10387
