iter	Logloss
0	0.6682815348
1	0.6508954293
2	0.6370353666
3	0.6218290049
4	0.6069217253
5	0.5951399353
6	0.5859634866
7	0.5771883931
8	0.5672136445
9	0.5607607186
10	0.5545819219
11	0.5485270004
12	0.5445453743
13	0.5398639278
14	0.5351770514
15	0.530022195
16	0.5268717706
17	0.5231618796
18	0.519403799
19	0.515722193
20	0.5126079289
21	0.5098023119
22	0.5088108743
23	0.5059649826
24	0.5047669124
25	0.5024947525
26	0.5004604269
27	0.4985574406
28	0.4960531841
29	0.4953704714
30	0.4950433944
31	0.493461322
32	0.4914194492
33	0.4903610866
34	0.4900681511
35	0.4886091866
36	0.4875527508
37	0.4872743218
38	0.4868201142
39	0.485511358
40	0.4850517628
41	0.4840668395
42	0.4826708042
43	0.4819855955
44	0.4813932835
45	0.4810961131
46	0.4808580599
47	0.4800708784
48	0.4794016031
49	0.478831559
50	0.4783010961
51	0.4775785903
52	0.4765391775
53	0.4755293741
54	0.4751075567
55	0.474871424
56	0.4745156876
57	0.4742053911
58	0.4736085162
59	0.4731016985
60	0.4724518341
61	0.472392895
62	0.4722698788
63	0.4720427539
64	0.4712406732
65	0.4708635793
66	0.4700860503
67	0.4696155986
68	0.4692846052
69	0.4690082679
70	0.4688093021
71	0.4687306387
72	0.4683102473
73	0.4682785014
74	0.4682402173
75	0.4678818373
76	0.467570474
77	0.467266527
78	0.4667705708
79	0.4662879061
80	0.4662311605
81	0.4659288237
82	0.4656647128
83	0.4655629276
84	0.4650524299
85	0.4649460731
86	0.4646237503
87	0.4644448586
88	0.464270675
89	0.4640642852
90	0.4639198936
91	0.4638060808
92	0.4636861371
93	0.4635680283
94	0.4634331136
95	0.4630751255
96	0.4630336496
97	0.4628284181
98	0.4623489139
99	0.4620811055
100	0.4618994324
101	0.4617472799
102	0.461740015
103	0.4614292223
104	0.4612109973
105	0.4611380227
106	0.460963987
107	0.4607661337
108	0.4603768468
109	0.460273608
110	0.4600784146
111	0.4598078484
112	0.4596050349
113	0.4594213093
114	0.4593219581
115	0.4592670436
116	0.4590369022
117	0.4590272737
118	0.4588129471
119	0.4586099405
120	0.4583368903
121	0.4580688461
122	0.4577468847
123	0.4576397704
124	0.4573825659
125	0.4572390652
126	0.4571290928
127	0.4570686702
128	0.4570332134
129	0.4568537029
130	0.4567289034
131	0.4566871915
132	0.4565565905
133	0.4565301299
134	0.4563278452
135	0.4563038245
136	0.4562257576
137	0.4560776543
138	0.4559851206
139	0.4557493943
140	0.4556387766
141	0.4552212658
142	0.4551240281
143	0.4550168218
144	0.4549396127
145	0.4547725068
146	0.4546973057
147	0.4546222742
148	0.4544247968
